institute_code,institute_name,branch_code,branch_name,status,seat_type,stage,category,rank,percentile,year,cap_round
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,GOPENH,2088,95.0999267,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,GOBCH,2789,93.9452319,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,LVJH,42315,34.9775785,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,LSEBCH,37452,44.9853319,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,GSEBCH,2582,94.2754919,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,PWDOPENH,8008,85.8969691,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,GSCO,1414,96.3785856,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,DEFOPENS,9875,83.3576044,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Government Home University Seats Allotted to Home University Candidates GOPENH GOBCH LVJH LSEBCH Stage I,Home University,I,EWS,7644,86.3326782,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GOPENH,1601,96.0524385,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GSCH,2644,94.1294257,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GNT1H,2202,94.8672079,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GOBCH,1881,95.4759487,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GSEBCH,2551,94.2788484,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LSCH,2734,94.0597718,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LOBCH,1794,95.689537,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,PWDOPENH,7225,86.9832325,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GOPENO,1429,96.3734777,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GSTO,4266,91.344316,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GOBCO,1485,96.2877352,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,GSEBCO,1537,96.1877771,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LOPENO,644,98.0481785,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LSCO,2243,94.8263419,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LOBCO,1123,96.992275,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,LSEBCO,1593,96.0811498,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,DEFOPENS,4096,91.7047923,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,TFWS,488,98.5051762,2025,CAP2
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Government Home University Seats Allotted to Home University Candidates GOPENH GSCH GNT,Home University,I,EWS,4288,91.3015715,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GOPENH,10050,82.9815065,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GSCH,15495,76.1597181,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GVJH,12364,80.1947756,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GNT2H,11027,81.861762,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GOBCH,11182,81.6303793,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,LOPENH,3553,92.6139984,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,LOBCH,7389,86.7024202,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I-Non PWD,PWDOPENH,11614,81.093815,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GOPENO,13519,78.601899,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GSTO,51021,7.9006981,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,GOBCO,26795,62.0305788,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,LOBCO,4261,91.344316,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,TFWS,8155,85.5921744,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I,EWS,31055,55.8824888,2025,CAP2
1115,J.S.P Mandal,111582310,,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GVJH GNT,Home University,I-Non Defence,DEFOPENS,11617,81.093815,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,GOPENH,3862,92.0510688,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,GSCH,4523,90.9926555,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,GSTH,13072,79.2442319,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,GOBCH,4442,91.1366712,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,GSEBCH,4835,90.4647906,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,LOPENH,3694,92.2475659,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,LOBCH,3855,92.0510688,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,LOPENO,3011,93.486432,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,TFWS,2643,94.1353933,2025,CAP2
1131,"Vidya Bharati College of Pharmacy, Amravati",113182310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH GSEBCH LOPENH LOBCH Stage I,Home University,I,EWS,19077,71.7123193,2025,CAP2
1133,"Anuradha College Of Pharmacy, Chikhli",113382310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH LOPENH LSCH LSTH LOBCH LSEBCH PWDOPENH Stage I,Home University,I,GOPENH,8306,85.3968111,2025,CAP2
1133,"Anuradha College Of Pharmacy, Chikhli",113382310,Pharmacy,Un-Aided Home University Seats Allotted to Home University Candidates GOPENH GSCH GSTH GOBCH LOPENH LSCH LSTH LOBCH LSEBCH PWDOPENH Stage I,Home University,I,GSCH,22721,67.3841748,2025,CAP2
