institute_code,institute_name,branch_code,branch_name,seat_type,stage,category,Rank,percentile,year
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GOPENH,1556,96.1430089,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GSCH,5139,90.0233934,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GSTH,3884,91.962111,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GOBCH,2581,94.2754919,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GSEBCH,18351,72.8590432,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LOPENH,570,98.2493029,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LVJH,5222,89.9019069,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LNT2H,17073,74.2992711,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LOBCH,1048,97.1284387,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,PWDOPENH,32215,53.7016125,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LSEBCH,2458,94.4430857,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GOPENO,583,98.201655,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GSCO,2714,94.0597718,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GNT1O,4756,90.6800425,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GOBCO,849,97.5492834,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,GSEBCO,1313,96.5657378,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LOPENO,541,98.3123808,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,LSTO,13441,78.771208,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,DEFOPENS,2285,94.7793855,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,DEFROBCS,3853,92.0510688,2025
1003,"Government College of Pharmacy, Amravati",100310010,Pharm D ( Doctor of Pharmacy),Home University Seats,I,EWS,4234,91.3997922,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GOPENH,1506,96.2334295,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSCH,2463,94.4430857,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSTH,9412,83.9086834,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GVJH,4641,90.8128841,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GNT1H,1583,96.1083608,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GNT2H,2533,94.2940911,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GNT3H,3297,92.978065,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GOBCH,1755,95.6953792,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSEBCH,4556,90.9526176,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LOPENH,1227,96.7667024,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LSCH,1866,95.553722,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LSTH,7188,86.9908896,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LOBCH,1398,96.3992244,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LSEBCH,3295,92.978065,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,PWDOPENH,3635,92.3450678,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,PWDRSTH,13602,78.5163287,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,PWDROBCH,12299,80.2182054,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GOPENO,914,97.3927506,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSCO,990,97.2631871,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSTO,2739,94.0234551,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GVJO,2129,95.060736,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GNT2O,2341,94.688107,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GOBCO,974,97.2998092,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,GSEBCO,1082,97.050454,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LOPENO,1304,96.5674335,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LSCO,1401,96.3992244,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LOBCO,1339,96.5117345,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,LSEBCO,1476,96.2983502,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,DEFOPENS,3250,93.0446549,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,TFWS,705,97.8808312,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,DEFROBCS,6964,87.371439,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,EWS,3604,92.4619674,2025
1003,"Government College of Pharmacy, Amravati",100382310,Pharmacy,Home University Seats,I,ORPHAN,8854,84.6107977,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GOPENH,7236,86.9832325,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GSCH,13852,78.3014124,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GSTH,32541,53.6351544,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GVJH,10050,82.9815065,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GNT2H,13177,79.0843724,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GOBCH,10365,82.6702567,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GSEBCH,11838,80.8615246,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LOPENH,4792,90.5253025,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LSCH,18657,72.5493765,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LSTH,21171,69.4656489,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LNT1H,24738,64.9677744,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LOBCH,5388,89.6932792,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,LSEBCH,5802,89.075327,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GOPENO,9327,83.9603067,2025
1115,J.S.P Mandal,111582310,,Home University Seats,I,GSCO,13306,78.9823929,2025
